user_id,product_id,timestamp,event_type
U0445,P0282,2025-09-26 19:11:44.183106,wishlist
U0162,P0270,2025-04-11 19:11:44.183237,view
U1410,P0384,2025-10-08 19:11:44.183312,view
U0053,P0262,2025-04-29 19:11:44.183367,view
U1615,P0192,2026-01-24 19:11:44.183420,wishlist
U0244,P0315,2026-03-12 19:11:44.183468,view
U0786,P0468,2025-05-25 19:11:44.183511,view
U1561,P0401,2025-08-08 19:11:44.183553,view
U0618,P0065,2025-06-18 19:11:44.183594,view
U1430,P0342,2025-12-22 19:11:44.183637,view
U1264,P0211,2026-01-15 19:11:44.183679,view
U0853,P0435,2025-07-14 19:11:44.183726,view
U0360,P0306,2025-12-27 19:11:44.183768,cart
U0888,P0352,2025-11-26 19:11:44.183810,purchase
U0532,P0258,2026-03-08 19:11:44.183850,view
U1796,P0004,2026-01-08 19:11:44.183907,wishlist
U1995,P0282,2025-08-07 19:11:44.183948,purchase
U1772,P0292,2025-11-18 19:11:44.183986,view
U1344,P0119,2025-05-03 19:11:44.184026,purchase
U1755,P0243,2025-07-29 19:11:44.184065,view
U1877,P0092,2025-09-12 19:11:44.184104,purchase
U0987,P0223,2025-11-02 19:11:44.184141,view
U0654,P0232,2025-08-02 19:11:44.184179,wishlist
U0324,P0241,2025-06-16 19:11:44.184218,cart
U1007,P0066,2026-01-02 19:11:44.184256,purchase
U0124,P0381,2025-10-01 19:11:44.184295,view
U1718,P0096,2025-04-14 19:11:44.184339,wishlist
U0928,P0009,2025-09-09 19:11:44.184381,view
U1732,P0368,2025-05-27 19:11:44.184420,view
U1522,P0300,2026-02-19 19:11:44.184459,view
U1004,P0222,2025-12-19 19:11:44.184499,cart
U1236,P0102,2025-12-29 19:11:44.184538,purchase
U1468,P0366,2025-08-14 19:11:44.184575,cart
U0792,P0186,2025-05-25 19:11:44.184613,cart
U1665,P0208,2025-11-20 19:11:44.184651,purchase
U1148,P0393,2025-12-24 19:11:44.184687,view
U0976,P0288,2025-12-31 19:11:44.184724,view
U0726,P0124,2025-11-10 19:11:44.184761,cart
U0084,P0234,2025-07-30 19:11:44.184797,view
U0664,P0035,2025-09-03 19:11:44.184834,view
U1940,P0464,2025-04-17 19:11:44.184871,purchase
U0063,P0486,2026-03-12 19:11:44.184907,purchase
U1600,P0417,2026-02-28 19:11:44.184943,view
U1100,P0360,2025-10-06 19:11:44.184979,view
U0232,P0298,2025-10-22 19:11:44.185015,cart
U0390,P0045,2025-11-23 19:11:44.185051,purchase
U1561,P0078,2026-03-25 19:11:44.185088,view
U1960,P0148,2025-12-08 19:11:44.185123,wishlist
U0817,P0280,2025-12-09 19:11:44.185163,cart
U1854,P0051,2026-02-08 19:11:44.185201,view
U1567,P0462,2025-11-06 19:11:44.185238,view
U1541,P0457,2025-10-07 19:11:44.185273,view
U0518,P0242,2026-02-03 19:11:44.185308,view
U1940,P0374,2025-10-10 19:11:44.185345,view
U1958,P0081,2025-09-04 19:11:44.185381,view
U1568,P0248,2025-09-03 19:11:44.185417,view
U0688,P0332,2026-04-02 19:11:44.185453,cart
U0968,P0269,2025-11-15 19:11:44.185496,view
U0413,P0157,2026-01-17 19:11:44.185537,view
U0658,P0103,2026-04-04 19:11:44.185575,wishlist
U1769,P0224,2025-09-01 19:11:44.185614,cart
U1266,P0409,2025-12-06 19:11:44.185651,purchase
U0573,P0333,2025-12-16 19:11:44.185688,cart
U0178,P0497,2025-04-17 19:11:44.185728,view
U1485,P0388,2025-04-14 19:11:44.185767,view
U0016,P0389,2025-07-24 19:11:44.185806,view
U1414,P0280,2025-11-27 19:11:44.185842,cart
U1581,P0345,2026-02-13 19:11:44.185878,cart
U0356,P0330,2026-02-17 19:11:44.185925,view
U0222,P0227,2025-07-09 19:11:44.185968,cart
U1367,P0323,2026-02-26 19:11:44.186016,view
U1895,P0291,2025-05-20 19:11:44.186055,view
U1953,P0140,2025-06-03 19:11:44.186092,cart
U0203,P0150,2025-06-17 19:11:44.186130,view
U0413,P0173,2025-04-29 19:11:44.186167,view
U0884,P0213,2026-01-16 19:11:44.186207,view
U1889,P0217,2025-09-08 19:11:44.186245,view
U1988,P0197,2025-06-27 19:11:44.186282,view
U0939,P0243,2025-09-11 19:11:44.186319,wishlist
U0673,P0393,2025-12-07 19:11:44.186358,purchase
U0209,P0338,2025-08-25 19:11:44.186398,cart
U1360,P0298,2026-01-13 19:11:44.186435,wishlist
U0392,P0017,2025-09-23 19:11:44.186473,view
U1567,P0440,2025-10-31 19:11:44.186509,cart
U0452,P0244,2026-02-24 19:11:44.186547,view
U0180,P0297,2025-11-03 19:11:44.186584,view
U1440,P0488,2025-05-25 19:11:44.186621,view
