user_id,product_id,timestamp,event_type
U1542,P0394,2025-10-07 13:44:26.354069,view
U0204,P0387,2026-02-02 13:44:26.356004,view
U1101,P0146,2026-02-05 13:44:26.357045,view
U1197,P0091,2025-07-31 13:44:26.357895,cart
U1464,P0235,2025-11-15 13:44:26.358501,cart
U0067,P0318,2026-03-12 13:44:26.358868,view
U1309,P0367,2025-12-08 13:44:26.359187,wishlist
U0421,P0170,2025-07-15 13:44:26.359584,view
U1412,P0149,2026-01-04 13:44:26.359846,view
U0134,P0376,2026-03-25 13:44:26.360197,view
U0106,P0115,2025-05-18 13:44:26.360611,cart
U0842,P0386,2025-10-29 13:44:26.361439,view
U1403,P0332,2025-08-30 13:44:26.361761,view
U1086,P0353,2025-08-16 13:44:26.362046,view
U1475,P0460,2026-04-01 13:44:26.362626,cart
U0874,P0144,2025-05-27 13:44:26.362982,view
U1545,P0330,2025-12-13 13:44:26.364690,cart
U1554,P0297,2025-04-29 13:44:26.365137,view
U1014,P0088,2025-08-05 13:44:26.365552,view
U1687,P0054,2025-07-20 13:44:26.365768,view
U1497,P0110,2025-09-05 13:44:26.366003,view
U0300,P0357,2026-01-31 13:44:26.366437,view
U0502,P0062,2025-12-24 13:44:26.366714,cart
U1849,P0489,2025-12-07 13:44:26.366987,view
U0303,P0263,2025-07-14 13:44:26.368676,view
U0144,P0010,2026-03-28 13:44:26.369301,view
U1445,P0167,2025-10-23 13:44:26.369901,cart
U0237,P0087,2025-10-08 13:44:26.370221,view
U1001,P0078,2025-11-24 13:44:26.371392,view
U1160,P0472,2025-09-10 13:44:26.371816,view
U1638,P0421,2025-12-22 13:44:26.372187,wishlist
U1090,P0312,2026-01-13 13:44:26.373316,view
U0688,P0140,2025-07-10 13:44:26.373888,wishlist
U1947,P0007,2025-10-29 13:44:26.374254,view
U0337,P0332,2025-06-11 13:44:26.374726,view
U1634,P0290,2025-07-10 13:44:26.375104,view
U1606,P0167,2026-02-16 13:44:26.375537,view
U1661,P0043,2025-09-07 13:44:26.376049,view
U0085,P0227,2026-02-21 13:44:26.376403,view
U0402,P0335,2025-09-17 13:44:26.376919,wishlist
U0918,P0189,2025-04-06 13:44:26.377309,view
U1457,P0461,2025-10-22 13:44:26.377734,view
U1804,P0392,2025-06-22 13:44:26.378148,purchase
U0700,P0345,2025-09-05 13:44:26.380057,view
U1985,P0454,2025-11-07 13:44:26.380453,cart
U0816,P0476,2026-03-02 13:44:26.380856,wishlist
U1750,P0153,2026-01-31 13:44:26.381138,view
U1113,P0455,2026-01-07 13:44:26.381401,view
U0112,P0154,2025-08-06 13:44:26.382183,cart
U1613,P0442,2025-04-10 13:44:26.382719,view
U1465,P0191,2025-04-26 13:44:26.383069,view
U1594,P0247,2025-08-21 13:44:26.383625,view
U0280,P0305,2026-01-08 13:44:26.383997,view
U1503,P0176,2025-07-21 13:44:26.384354,view
U1485,P0227,2025-12-17 13:44:26.385360,wishlist
U0949,P0467,2025-08-21 13:44:26.385911,view
U1121,P0052,2025-06-04 13:44:26.386233,view
U0786,P0131,2025-12-26 13:44:26.386704,view
U0152,P0409,2025-11-12 13:44:26.387496,wishlist
U0403,P0334,2026-01-28 13:44:26.387891,cart
U1914,P0192,2025-11-11 13:44:26.388259,view
U0256,P0317,2025-05-07 13:44:26.389391,cart
U0791,P0289,2025-05-20 13:44:26.389854,purchase
U0053,P0116,2025-09-11 13:44:26.390627,view
U0420,P0301,2025-11-23 13:44:26.392274,view
U0551,P0248,2025-09-09 13:44:26.392622,view
U0848,P0340,2025-12-23 13:44:26.392954,view
U1449,P0367,2025-07-05 13:44:26.393429,wishlist
U0494,P0017,2025-08-16 13:44:26.395809,view
U1243,P0117,2025-06-17 13:44:26.396419,view
U1687,P0021,2025-10-14 13:44:26.396898,view
U1559,P0059,2025-08-20 13:44:26.397599,cart
U1202,P0472,2026-03-08 13:44:26.397965,view
U0625,P0377,2025-11-19 13:44:26.398263,purchase
U0435,P0428,2025-04-10 13:44:26.399085,view
U0756,P0289,2026-02-15 13:44:26.399740,cart
U0230,P0072,2025-12-08 13:44:26.400179,view
U0207,P0126,2026-02-26 13:44:26.400764,view
U1286,P0028,2025-05-13 13:44:26.401660,wishlist
U1236,P0354,2026-01-16 13:44:26.402694,purchase
U0630,P0191,2025-05-16 13:44:26.403114,view
U1607,P0272,2025-06-27 13:44:26.403435,view
U1470,P0154,2025-09-19 13:44:26.403882,view
U0681,P0455,2025-04-07 13:44:26.404422,view
U0007,P0046,2025-05-05 13:44:26.404887,view
U0793,P0266,2025-07-26 13:44:26.405357,wishlist
U0829,P0064,2025-10-03 13:44:26.405652,view
U1546,P0384,2026-03-08 13:44:26.406108,cart
U0096,P0150,2025-07-14 13:44:26.406453,cart
